Question,Tags,Answer
Default,,"I'm sorry, but I don't understand you. Try to say otherwise. I know everything about Tap Tap Builder, but no more. You'd better ask developers, they will definitely help you! Please email to support@herocraft.com"
Hello!,,"Hello, mayor! What can I help you with?"
How can I get free Ruby Keys?,"how,red,ruby,key,free,get","Well, you can get Ruby Keys for free in the following ways:
- subscribe us on Facebook to get free daily coupons
- watch ads in Cinema and select random reward
- build and upgrade Game Store
- build Crystal Bank
- collect 10 invite coupons using Pub
- invite your friends on Facebook
- find Promo Codes in social networks using #TapTapBuilder
- make donations to Church, Cathedral or Mosque
- catch rare red airplanes"
How to get Golden Keys? And how can I use them?,"gold,key,get","You are receiving Golden Keys when your city reaches a new level. Golden Keys are required for building and upgrading Special buildings. If you have unused Golden Keys, put them in Pawnshop! If you need more Golden Keys, you can exchange Ruby Keys for Golden Keys in a Game Store, also Faberge City gives one key every week."
My game lags and crashes sometimes =(,"lag,crash,freeze,hang,slow,performance,optimizaton","Probably, the performance of your device is not enough. We know about this issue and working on fixing it, sorry."
Where can I enter coupons (code) and what are they?,"coupon,code,post","You can send and receive credits and resources using Post Office. The coupons are 5-digit codes, and you can send them to other players. Note, that all coupons are valid for only 2 days!"
What are the invite coupons?,"invite,coupon,pub","You can send invite code to another player using Pub. Invite code has 6 digits. You can send only 5 invite codes and receive up to 10 invite codes. You will receive credits, resources and keys for receiving invite codes from other players."
I can't decode a coupon =(,"decode,coupon,code,error","First, check if your coupons was entered with no mistakes. Then make sure your Postal Code was used when generating coupon. Note, that all coupons are valid for only 2 days!"
What are the Promo Codes?,"promo,code","- Promo Codes are not the same as coupons
- Promo Codes are 6-digit codes
- you can collect Promo Codes in Main Server
- you will get a reward for collecting Promo Codes
- you can find Promo Codes in social networks using #TapTapBuidler
- you can share your Promo Code with other player from settings window"
How do I demolish buildings?,"how,demolish,destroy","- select the building you want to demolish
- open it by double clicking
- press the yellow wrench button
- select demolish option"
How do I move or rotate buildings?,"how,move,building","- select the building you want to move or rotate
- open it by double clicking
- press the yellow wrench button
- select move or rotate option
- you need an Architectural Administration for moving and rotating buildings
- moving and rotating building also costs credits"
How do I extend my island?,"extend,space,island,land,increase,enlarge",Build Landscape Institute and use it to dry sea blocks!
