Question,Tags,Answer
Default,,"Извините, я вас не поняла. Попробуйте сказать иначе. Я знаю все об игре Tap Tap Builder, но не более. Советую вам обратиться за помощью к разработчикам, они обязательно помогут! Пожалуйста, напишите письмо на support@herocraft.com!"
Привет!,"превед,здарова,салям,хай","Добрый день, мэр! Чем я могу вам помочь?"
Как дела?,,"Очень много работы, я едва успеваю отвечать на звонки. Но спасибо, что поинтересовались!"
Как получить рубиновые ключи без доната?,"рубин,красный,ключ,бесплатно,халява","Вы можете получить рубиновые ключи бесплатно следующими способами:
- следите за новостями в социальных сетях
- смотрите рекламу в кинотеатре и выбирайте случайную награду
- постройте и улучшите игровой магазин до 5 или 10 уровня
- постройте Crystal Bank
- получите 10 инвайтов в пабе
- приглашайте друзей в Facebook
- ищите промо-коды в социальных сетях по хеш-тегу #TapTapBuilder
- собирайте промо-коды в здании сервера
- делайте пожертвования в храмах
- ловите редкие самолетики"
Как получить золотые ключи? И для чего они нужны?,"золотой,ключ,спецстрой,ломбард","Золотые ключи нужны для постройки и улучшения специальных зданий. Золотые ключи даются за повышение уровня города. Если у вас скопились лишние золотые ключи - положите их в Ломбард! Вы также можете поменять рубиновые ключи на золотые в игровом магазине, а еще построить Фаберже-Сити, который будет приносить один ключ в неделю."
Игра тормозит и вылетает.,"лаги,лагает,тормозит,вылетает,зависает,медленно,оптимизация","Возможно, у вашего телефона недостаточно ресурсов для корректной работы игры. Извините, мы знаем о проблеме и постоянно работаем над оптимизацией игры!"
Где вводить купоны (коды) и что это такое?,"купон,код,почта,пять","Купоны - это пятизначные коды, которые можно получить и отправить в здании почты или паба. С помощью купонов можно обмениваться кредитами и ресурсами с другими игроками, а также обмениваться инвайтами."
Что такое инвайты и для чего они нужны?,"инвайт,код,паб","Отправив игроку инвайт, вы станете его другом. Можно отправить до 5 инвайтов и получить до 10 инвайтов. За получение инвайтов можно получить кредиты, ресурсы, опыт и рубиновые ключи."
Не удалось расшифровать купон (код),,"Первым делом проверьте правильность ввода. Кроме того, купоны действительны 2 дня с момента генерации."
Где вводить промо-коды и что это такое?,"промо,код,шесть","Промо-коды - это шестизначные коды, которые можно найти в социальных сетях по хэш-тегу #TapTapBuilder. Промо-коды можно ввести в здании сервера, которое находится в группе служебных построек. Вы также можете поделиться своим промо-кодом со всеми. За собирание промо-кодов можно получить различные бонусы."
Как снести здание?,"снести,снос","Для того, чтобы снести здание, откройте окно здания и нажмите на желтую кнопку с изображением гаечного ключа."
Как переместить здание?,"переместить,передвинуть","Для того, чтобы перенести здание, откройте окно здания и нажмите на желтую кнопку с изображением гаечного ключа."
Как увеличить или расширить мой остров?,"увеличить,расширить,закончилось,место,земля,остров,территория","Для того, чтобы расширить ваш остров, необходимо построить институт ландшафта."
Как сохранить игру?,"перенести,устройство","Игра сохраняется автоматически. Кроме того, вы можете сохранить игру в Google Play, iCloud или Facebook, перейдя в настройки."
Как загрузить игру?,"аккаунт,есть,восстановить,прогресс,мой,город","Вы можете загрузить ранее сохраненную игру, перейдя в настройки."
Можно ли играть на нескольких устройствах?,"iphone,ipad,айфон,айпад","Да, вы можете играть на нескольких устройствах. Если у вас iOS, то ваши данные будут синхронизированы между устройствами автоматически. В остальных случаях вам придется переносить свой прогресс вручную, через сохранение и загрузку игры."
"Что делать, если закончились деньги или ресурсы?","закончились,заработать,деньги,кредиты,ресурсы,металл,бетон","Поработайте в офисе или на заводе, попросите друзей прислать вам посылку или просто выйдите из игры и зайдите через пару часов."
Как именно работать? Что нужно делать?,работать,"Работать можно точно так же, как и строить здания. Выберите Офис, один из Заводов или Жилье - и тапайте по боковым кнопкам :)"
Как увеличить максимум денег?,"максимум,лимит,больше,денег,кредитов,проценты,банк","Основной источник кредитов - офисы. Для увеличения лимита кредитов стройте и улучшайте банки. Кроме того, банки будут начислять вам проценты, когда вы оффлайн."
Мне не хватает людей. Как уменьшить уровень безработицы?,"хватает,рабочие,увеличить,население,людей,галстуки,безработица,персонал","Если в вашем городе не хватает жилья, то население не будет увеличиваться. В этом случае нужно построить или улучшить жилой дом. Кстати, вы можете поработать в жилом доме, чтобы мгновенно увеличить население. Или просто подождите, пока это произойдет со временем (выйдите из игры и зайдите через пару часов). Кроме того, вы можете построить больницу или другие здания, которые увеличивают прирост населения."
"Что делать, если закончилось электричество или люди, и я не могу построить электростанцию?","электричество,электроэнергия","Если у вас не хватает электричества, то постройте или улучшите электростанцию. Если при этом не хватает рабочих, то вы можете снести одно из построенных ранее зданий. Так вы уменьшите потребление электричества и освободите рабочие места. Не забывайте следовать подсказкам и выполнять миссии по порядку в начале игры, чтобы случайно не застрять где-нибудь!"
Как восстановить запас сил? Как работает Фитнес-Клуб?,"энергия,усталость,восполнить,пополнить","Чтобы восстановить запас сил, постройте фитнес-клуб и позанимайтесь в нем, тапая на кнопки по бокам экрана. Либо просто подождите, ведь энергия восстанавливается со временем. Кроме того, если вы построите SPA-центр, ваша энергия будет восстанавливаться намного быстрее!"
Как увеличить электричество?,"увеличить,электричество,электроэнергия","Электричество не восстанавливается с течением времени, но его можно увеличить улучшив или построив электростанцию."
Как увеличить скорость получения ресурсов и постройки зданий?,,"Вы можете строить и улучшать специальные здания из вкладки Спецстрой, они помогают как увеличить прибыль и скорость получения ресурсов, так и уменьшить количество необходимых тапов для постройки. Кроме того, в игре есть интересные Особые здания, они тоже могут помочь."
Как построить мост?,,"Чтобы построить мост, необходимо осушить тонкий перешеек земли с помощью института ландшафта. Затем просто постройте на нем дорогу!"
Как сбросить игру? Как начать новую игру?,,"Перейдите в настройки и подтвердите удаление данных игры. При этом ваши данные, сохраненные в облаке, не будут удалены."
"Меня забанили, что делать?","забанили,разбанить,заблокировали,разблокировать,читер,жулик,мошенник","Скорее всего, вы нарушили правила игры. Но мы можем разблокировать вас, если нарушение было не очень серьезным, или вас заблокировали по ошибке. Напишите нам на почту support@herocraft.com. Не забудьте прикрепить скриншоты с причиной блокировки, а также укажите ваш почтовый индекс из игры."
"У меня возникла ошибка, что делать?","ошибка,красный,жук,баг","Если вы нашли ошибку в игре, то скорее расскажите нам о ней за вознаграждение! Отправьте письмо по адресу support@herocraft.com и напишите, как проявляется эта ошибка и как ее можно повторить."
Когда будет обновление игры?,"обновление,обнова","Обновление будет совсем скоро! Если вы хотите сообщить нам что-то важное, напишите нам почту support@herocraft.com!"
Когда будут новые уровни зданий?,"скучно,надоело,однообразно","Мы постараемся почаще радовать вас обновлениями! Разработчики работают над игрой, не покладая рук. Если вы знаете, как сделать игру лучше, напишите нам свои идеи на почту support@herocraft.com!"
Как взломать игру?,"взломать,хакнуть","Предупреждаю, что вас могут заблокировать за взлом игры. Кроме того, не рекомендую скачивать и устанавливать взломанные версии игры из интернета, поскольку это может привести к заражению вашего устройства вирусами."
Как выключить рекламу?,реклама,"Мы показываем рекламу, чтобы вы могли играть бесплатно. Вы можете выключить рекламу навсегда, если совершите любую покупку в игровом магазине. Кроме того, если вы смотрите рекламу в кинотеатре, то мы не будет показывать вам ее автоматически. Спасибо за понимание!"
Мне нравится ваша игра!,"нравится,оценить,отзыв","Очень приятно слышать, что вам нравится наша игра! Если вы напишите отзыв в магазине приложений, то мы будем просто счастливы!"
Как строить и улучшать здания?,домики,"Нажмите на оранжевую кнопку рядом со стройплощадкой, чтобы строить. Если по бокам экрана присутствуют дополнительные кнопки строительства, вы также можете использовать их. Нажмите и удерживайте кнопку строительства, чтобы ускорить процесс. Однако, при этому будет расходоваться ваш запас сил. Если вы хотите улучшить здание, выделите его, затем нажмите на кнопку с лупой в меню (или просто дважы нажмите на здание), чтобы открыть меню здания. Там вы увидите кнопку для улучшения здания."
Что делать дальше?,,"Постройте больше специальных зданий, чтобы ваш город рос еще быстрее. Вы также можете принять участие в игровых рейтингах, построив обелиск победы. В меню рейтингов вы сможете посетить и оценить города других игроков."
Как играть? Помоги мне!,"помощь,мануал,инструкция",Раздел помощи находится в окне параметров вашего города. Вы можете открыть его через панель инструментов. Там вы найдете справочную информацию по самым важным аспектам игры.
Как тебя зовут? Кто ты?,,Меня зовут Алиса! Я - ваш персональный ассистент.
Что такое ломбард?,,"В ломбарде можно занять и одолжить золотые ключи. Кроме того, их можно обменять на дополнительные слоты для строительства."
Спасибо!,,"Не стоит благодарностей, это моя работа!"
Где находятся достижения?,ачивки,"Чтобы открыть доступ к достижениям, нужно построить обелиск из группы служебных проектов."
Какие бывают статусы у города? Какой максимальный?,"мегаполис,уровень,название","Развивайте ваше поселение, и оно будет становиться все крупнее и крупнее! Вы начнете с Пустыря и сможете развить его до Мегаполиса с такими промежуточными этапами: Трущобы, Деревня, Поселок, Небольшой городок, Город, Крупный город. Удачи!"
Что такое слот под строительство? Как увеличить количество слотов?,,"Количество зданий в игре, которое можно строить (слоты), ограничено. Всякий город растет постепенно ;) Обычно их становится больше с повышением уровня города, но можно купить и еще в Ломбарде за Золотые Ключи."
Можно посмотреть чужие города? И как?,"посмотреть,оценить,заценить,чужие","Да, мэр, вы можете посмотреть и оценить чужие города :) Постройте Смотровую Башню, войдите в свой аккаунт Facebook с помощью кнопки внутри, и вы сможете посмотреть (и лайкнуть) любой город из рейтинга."
Как открыть еще остров? ,"больше,островов","Сколько будет островов и какого размера - зависит только от вас, мэр! Пользуйтесь возможностями Института Ландшафта, чтобы осушать воду (или наоборот), это позволит вам строить мосты и создавать новые острова любой формы :)"
Можно ли пропустить миссию?,"задание,квест","Обычно миссии пропускать нельзя (за исключением миссий, требующих подключения к сети). Но ежедневные задания менются каждый день :)"
